Allele,DYF387S1,DYS19,DYS385a-b,DYS389I,DYS389II,DYS390,DYS391,DYS392,DYS437,DYS438,DYS439,DYS448,DYS460,DYS481,DYS505,DYS522,DYS533,DYS549,DYS570,DYS576,DYS612,DYS635,DYS643,Y-GATA-H4
4,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,0.083333333,,,,,,,,,,,,,,,,,
6,,,,,,,0.083333333,0.083333333,,0.090909091,0.083333333,,,,,,,,,,,,,
7,,,0.045454545,,,,0.083333333,0.083333333,,0.090909091,0.083333333,,0.125,,,,0.090909091,,,,,,0.111111111,
8,,,0.045454545,,,,0.083333333,0.083333333,,0.090909091,0.083333333,,0.125,,,0.1,0.090909091,,,,,,0.111111111,0.125
9,,0.090909091,0.045454545,0.111111111,,,0.083333333,0.083333333,,0.090909091,0.083333333,,0.125,,0.142857143,0.1,0.090909091,,,,,,0.111111111,0.125
10,,0.090909091,0.045454545,0.111111111,,,0.083333333,0.083333333,0.111111111,0.090909091,0.083333333,,0.125,,0.142857143,0.1,0.090909091,0.2,0.058823529,0.0625,,,0.111111111,0.125
11,,0.090909091,0.045454545,0.111111111,,,0.083333333,0.083333333,0.111111111,0.090909091,0.083333333,,0.125,,0.142857143,0.1,0.090909091,0.2,0.058823529,0.0625,,,0.111111111,0.125
12,,0.090909091,0.045454545,0.111111111,,,0.083333333,0.083333333,0.111111111,0.090909091,0.083333333,,0.125,,0.142857143,0.1,0.090909091,0.2,0.058823529,0.0625,,,0.111111111,0.125
13,,0.090909091,0.045454545,0.111111111,,,0.083333333,0.083333333,0.111111111,0.090909091,0.083333333,,0.125,,0.142857143,0.1,0.090909091,0.2,0.058823529,0.0625,,,0.111111111,0.125
14,,0.090909091,0.045454545,0.111111111,,,0.083333333,0.083333333,0.111111111,0.090909091,0.083333333,0.076923077,0.125,,0.142857143,0.1,0.090909091,0.2,0.058823529,0.0625,,,0.111111111,0.125
15,,0.090909091,0.045454545,0.111111111,,,0.083333333,0.083333333,0.111111111,0.090909091,0.083333333,0.076923077,,,0.142857143,0.1,0.090909091,,0.058823529,0.0625,,0.0625,0.111111111,0.125
16,,0.090909091,0.045454545,0.111111111,,,0.083333333,0.083333333,0.111111111,0.090909091,0.083333333,0.076923077,,,,0.1,0.090909091,,0.058823529,0.0625,,0.0625,,
17,,0.090909091,0.045454545,0.111111111,,0.083333333,,0.083333333,0.111111111,,0.083333333,0.076923077,,0.0625,,0.1,0.090909091,,0.058823529,0.0625,,0.0625,,
18,,0.090909091,0.045454545,,,0.083333333,,,0.111111111,,,0.076923077,,0.0625,,,,,0.058823529,0.0625,,0.0625,,
19,,0.090909091,0.045454545,,,0.083333333,,,,,,0.076923077,,0.0625,,,,,0.058823529,0.0625,,0.0625,,
20,,,0.045454545,,,0.083333333,,,,,,0.076923077,,0.0625,,,,,0.058823529,0.0625,,0.0625,,
21,,,0.045454545,,,0.083333333,,,,,,0.076923077,,0.0625,,,,,0.058823529,0.0625,,0.0625,,
22,,,0.045454545,,,0.083333333,,,,,,0.076923077,,0.0625,,,,,0.058823529,0.0625,,0.0625,,
23,,,0.045454545,,,0.083333333,,,,,,0.076923077,,0.0625,,,,,0.058823529,0.0625,,0.0625,,
24,,,0.045454545,,0.090909091,0.083333333,,,,,,0.076923077,,0.0625,,,,,0.058823529,0.0625,,0.0625,,
25,,,0.045454545,,0.090909091,0.083333333,,,,,,0.076923077,,0.0625,,,,,0.058823529,0.0625,,0.0625,,
26,,,0.045454545,,0.090909091,0.083333333,,,,,,0.076923077,,0.0625,,,,,0.058823529,,0.125,0.0625,,
27,,,0.045454545,,0.090909091,0.083333333,,,,,,,,0.0625,,,,,,,0.125,0.0625,,
28,,,0.045454545,,0.090909091,0.083333333,,,,,,,,0.0625,,,,,,,0.125,0.0625,,
29,,,,,0.090909091,,,,,,,,,0.0625,,,,,,,0.125,0.0625,,
30,0.066666667,,,,0.090909091,,,,,,,,,0.0625,,,,,,,0.125,0.0625,,
31,0.066666667,,,,0.090909091,,,,,,,,,0.0625,,,,,,,0.125,,,
32,0.066666667,,,,0.090909091,,,,,,,,,0.0625,,,,,,,0.125,,,
33,0.066666667,,,,0.090909091,,,,,,,,,,,,,,,,0.125,,,
34,0.066666667,,,,0.090909091,,,,,,,,,,,,,,,,,,,
35,0.066666667,,,,,,,,,,,,,,,,,,,,,,,
36,0.066666667,,,,,,,,,,,,,,,,,,,,,,,
37,0.066666667,,,,,,,,,,,,,,,,,,,,,,,
38,0.066666667,,,,,,,,,,,,,,,,,,,,,,,
39,0.066666667,,,,,,,,,,,,,,,,,,,,,,,
40,0.066666667,,,,,,,,,,,,,,,,,,,,,,,
41,0.066666667,,,,,,,,,,,,,,,,,,,,,,,
42,0.066666667,,,,,,,,,,,,,,,,,,,,,,,
43,0.066666667,,,,,,,,,,,,,,,,,,,,,,,
44,0.066666667,,,,,,,,,,,,,,,,,,,,,,,
